"House Price Index by region; existing own homes; 2010 = 100 1995-2017"
"";"Subjects";"Price index purchase prices";"Price index purchase prices";"Price index purchase prices";"Number of sold dwellings";"Number of sold dwellings";"Number of sold dwellings"
"";"Subjects";"Price index of existing own homes";"Changes compared to one period earlier";"Changes compared to one year earlier";"Number of dwellings sold";"Changes compared to one period earlier";"Changes compared to one year earlier"
"Regions";"Periods";"2010 = 100";"%";"%";"number";"%";"%"
"Nederland";"1995 1st quarter";"36.6";" ";" ";"30734";" ";" "
"Nederland";"1995 2nd quarter";"37.1";"1.2";" ";"37054";"20.6";" "
"Nederland";"1995 3rd quarter";"38.1";"2.8";" ";"40498";"9.3";" "
"Nederland";"1995 4th quarter";"38.6";"1.3";" ";"46282";"14.3";" "
"Nederland";"1995";"37.6";" ";" ";"154568";" ";" "
"Nederland";"1996 1st quarter";"39.7";"2.8";"8.3";"35669";"-22.9";"16.1"
"Nederland";"1996 2nd quarter";"41.0";"3.4";"10.7";"43810";"22.8";"18.2"
"Nederland";"1996 3rd quarter";"42.5";"3.5";"11.5";"46582";"6.3";"15.0"
"Nederland";"1996 4th quarter";"43.4";"2.2";"12.4";"49690";"6.7";"7.4"
"Nederland";"1996";"41.6";"10.8";"10.8";"175751";"13.7";"13.7"
"Nederland";"1997 1st quarter";"44.8";"3.2";"12.8";"35763";"-28.0";"0.3"
"Nederland";"1997 2nd quarter";"46.0";"2.7";"12.1";"47160";"31.9";"7.6"
"Nederland";"1997 3rd quarter";"47.3";"2.9";"11.4";"49619";"5.2";"6.5"
"Nederland";"1997 4th quarter";"48.3";"2.2";"11.4";"53092";"7.0";"6.8"
"Nederland";"1997";"46.6";"11.9";"11.9";"185634";"5.6";"5.6"
"Nederland";"1998 1st quarter";"49.5";"2.4";"10.6";"38128";"-28.2";"6.6"
"Nederland";"1998 2nd quarter";"50.8";"2.6";"10.4";"47410";"24.3";"0.5"
"Nederland";"1998 3rd quarter";"52.5";"3.4";"10.9";"51153";"7.9";"3.1"
"Nederland";"1998 4th quarter";"54.0";"2.8";"11.6";"55931";"9.3";"5.3"
"Nederland";"1998";"51.7";"10.9";"10.9";"192622";"3.8";"3.8"
"Nederland";"1999 1st quarter";"56.1";"3.9";"13.3";"42223";"-24.5";"10.7"
"Nederland";"1999 2nd quarter";"58.5";"4.3";"15.2";"50211";"18.9";"5.9"
"Nederland";"1999 3rd quarter";"61.6";"5.3";"17.4";"55575";"10.7";"8.6"
"Nederland";"1999 4th quarter";"64.3";"4.4";"19.1";"56529";"1.7";"1.1"
"Nederland";"1999";"60.1";"16.3";"16.3";"204538";"6.2";"6.2"
"Nederland";"2000 1st quarter";"67.2";"4.5";"19.9";"39643";"-29.9";"-6.1"
